,"Position, steps","Sharpness, -"
196,19600.0,0.7300110812276704
197,19700.0,0.7154983251359985
198,19800.0,0.705367895984581
199,19900.0,0.6993105875858818
200,20000.0,0.6911642443764479
201,20100.0,0.6874852441903367
202,20200.0,0.6839123644116728
203,20300.0,0.6799650791668085
204,20400.0,0.6674844182335096
205,20500.0,0.6627325753859917
206,20600.0,0.6595078522921866
207,20700.0,0.6624679371620101
208,20800.0,0.6584182602781081
209,20900.0,0.6516372153600136
210,21000.0,0.652192427856765
211,21100.0,0.6572198752821914
212,21200.0,0.649724975874372
213,21300.0,0.650688607500709
214,21400.0,0.6520799008933312
215,21500.0,0.6517113574912935
216,21600.0,0.6417621144167271
217,21700.0,0.6437508030352092
218,21800.0,0.6411131889533649
219,21900.0,0.6432896808275276
220,22000.0,0.6374269843238074
221,22100.0,0.6377008256912678
222,22200.0,0.6326726564558263
223,22300.0,0.6283062959005914
224,22400.0,0.6310694906648308
225,22500.0,0.6271536792668062
226,22600.0,0.6212769030959597
227,22700.0,0.6176349342849805
228,22800.0,0.6159283568061598
229,22900.0,0.6137937463928759
230,23000.0,0.613673644328059
231,23100.0,0.6083940412692027
232,23200.0,0.6066562960956446
233,23300.0,0.6072935939746942
234,23400.0,0.6006616232733861
235,23500.0,0.6017611285819365
236,23600.0,0.5984487331395064
237,23700.0,0.599226338656434
238,23800.0,0.5972111348140325
239,23900.0,0.5954021981535234
240,24000.0,0.5938170623114535
241,24100.0,0.5906972296228707
242,24200.0,0.59131959666629
243,24300.0,0.5912213899431418
244,24400.0,0.5912611408410338
245,24500.0,0.5900186758750502
246,24600.0,0.5883329549063577
247,24700.0,0.5891252481873825
248,24800.0,0.5930879261896522
249,24900.0,0.5900740471541573
250,25000.0,0.5886044470040696
251,25100.0,0.5951433007706896
252,25200.0,0.5923050683009661
253,25300.0,0.587886756906668
254,25400.0,0.5887091536426554
255,25500.0,0.5901441443264258
256,25600.0,0.5883142689779896
257,25700.0,0.5898540718856429
258,25800.0,0.5913596298806185
259,25900.0,0.5866356207802245
260,26000.0,0.5861608060985515
261,26100.0,0.5930070992407113
262,26200.0,0.5894523656145149
263,26300.0,0.5893150986746379
264,26400.0,0.5828240360802287
265,26500.0,0.5896061260816756
266,26600.0,0.5866274448775521
267,26700.0,0.5834328080695649
268,26800.0,0.5824940554732237
269,26900.0,0.5843928704968437
270,27000.0,0.5775412971011997
271,27100.0,0.5794309969682748
272,27200.0,0.580171358718408
273,27300.0,0.5773707009937333
274,27400.0,0.575098652517154
275,27500.0,0.5731147422746842
276,27600.0,0.5674676337430373
277,27700.0,0.5637217547121129
278,27800.0,0.5614676278698477
279,27900.0,0.5621986389763881
280,28000.0,0.557591107426905
281,28100.0,0.5546008450411303
282,28200.0,0.5534245645988471
283,28300.0,0.5542558237883659
284,28400.0,0.550475241478068
285,28500.0,0.5424488979976517
286,28600.0,0.5448698827523104
287,28700.0,0.5424812631818374
288,28800.0,0.5380914466775444
289,28900.0,0.5316546438599163
290,29000.0,0.5316557628609827
291,29100.0,0.531207352334333
292,29200.0,0.5217103620789073
293,29300.0,0.5222876917089911
294,29400.0,0.5226466061180063
295,29500.0,0.5217703192423905
296,29600.0,0.5178642732780696
297,29700.0,0.5173582482535521
298,29800.0,0.5122769471243815
299,29900.0,0.5151389481450284
300,30000.0,0.5119914188069629
301,30100.0,0.5089255090282583
302,30200.0,0.5074484714405518
303,30300.0,0.5085838960213159
304,30400.0,0.5053707416687787
305,30500.0,0.504948499786995
306,30600.0,0.5011149015421836
307,30700.0,0.503135601559823
308,30800.0,0.49541653997281276
309,30900.0,0.4960432530328304
310,31000.0,0.49657793168103853
311,31100.0,0.49339188252413996
312,31200.0,0.49259528217714904
313,31300.0,0.4900385550299667
314,31400.0,0.48884915116608946
315,31500.0,0.48353501133065024
316,31600.0,0.4845291116128934
317,31700.0,0.48046948191640726
318,31800.0,0.4797836436318635
319,31900.0,0.4757902143291582
320,32000.0,0.476591285160347
321,32100.0,0.47304597260910375
322,32200.0,0.46828933511158305
323,32300.0,0.4660343684882112
324,32400.0,0.46713836751854815
325,32500.0,0.46238101598359915
326,32600.0,0.4617053766431157
327,32700.0,0.4561890727984571
328,32800.0,0.4594498382987801
329,32900.0,0.4549909204012379
330,33000.0,0.4488772744129509
331,33100.0,0.4485542041585533
332,33200.0,0.44769476173689976
333,33300.0,0.44388859376671586
334,33400.0,0.43954376502146064
335,33500.0,0.441522492341962
336,33600.0,0.44202339643640315
337,33700.0,0.4348207815684514
338,33800.0,0.4329395156018648
339,33900.0,0.43397878791961636
340,34000.0,0.4333812836694226
341,34100.0,0.4275236144836843
342,34200.0,0.428296046185778
343,34300.0,0.42692265307830846
344,34400.0,0.4207870039315287
345,34500.0,0.41979366520735545
346,34600.0,0.4185938522080652
347,34700.0,0.4133777854779795
348,34800.0,0.41007064416692607
349,34900.0,0.40988959355736293
350,35000.0,0.40741043846422803
351,35100.0,0.40506285595225044
352,35200.0,0.4048684319036108
353,35300.0,0.3990652216094117
354,35400.0,0.3983826781509012
355,35500.0,0.3983717460887133
356,35600.0,0.39239555374424995
357,35700.0,0.39087045283014604
358,35800.0,0.39132660681676823
359,35900.0,0.3881091690158216
