Files will be save in ../data/setup4/2026_06_09/plus0mm\3
"TUE,PYNQRYB,February 2025,1.4"
Motor stopped at zero point
[3.5e+00 1.8e+04 1.0e+03] R^2: -11017.55866145393
[3.5e+00 1.8e+04 1.0e+03] R^2: -10978.926698198364
[3.5e+00 1.8e+04 1.0e+03] R^2: -11007.420408210883
[3.5e+00 1.8e+04 1.0e+03] R^2: -11049.969943927936
[3.5e+00 1.8e+04 1.0e+03] R^2: -10924.491958107705
[3.5e+00 1.8e+04 1.0e+03] R^2: -10837.96320305418
[3.5e+00 1.8e+04 1.0e+03] R^2: -10705.202197023918
[3.5e+00 1.8e+04 1.0e+03] R^2: -10762.631366474483
[3.5e+00 1.8e+04 1.0e+03] R^2: -10791.607293225305
[3.5e+00 1.8e+04 1.0e+03] R^2: -10759.258139003303
[3.5e+00 1.8e+04 1.0e+03] R^2: -10653.590669963904
[3.5e+00 1.8e+04 1.0e+03] R^2: -10573.698712578345
[3.5e+00 1.8e+04 1.0e+03] R^2: -10508.458277375288
[3.5e+00 1.8e+04 1.0e+03] R^2: -10472.454239901386
[3.5e+00 1.8e+04 1.0e+03] R^2: -10471.362319380045
[3.5e+00 1.8e+04 1.0e+03] R^2: -10298.319213250188
[3.5e+00 1.8e+04 1.0e+03] R^2: -10244.818443383632
[3.5e+00 1.8e+04 1.0e+03] R^2: -10211.289942913403
[3.5e+00 1.8e+04 1.0e+03] R^2: -10233.450867634625
[3.5e+00 1.8e+04 1.0e+03] R^2: -10163.364635756625
[3.5e+00 1.8e+04 1.0e+03] R^2: -10047.335852016722
[3.5e+00 1.8e+04 1.0e+03] R^2: -9972.956923047881
[3.5e+00 1.8e+04 1.0e+03] R^2: -9835.887338705988
[3.5e+00 1.8e+04 1.0e+03] R^2: -9782.596262762407
[3.5e+00 1.8e+04 1.0e+03] R^2: -9665.03681950612
[3.5e+00 1.8e+04 1.0e+03] R^2: -9615.48356915991
[3.5e+00 1.8e+04 1.0e+03] R^2: -9587.535022993732
[3.5e+00 1.8e+04 1.0e+03] R^2: -9532.454843177902
[3.5e+00 1.8e+04 1.0e+03] R^2: -9422.974059582251
[3.5e+00 1.8e+04 1.0e+03] R^2: -9244.972920954919
[3.5e+00 1.8e+04 1.0e+03] R^2: -9136.23554290795
[3.5e+00 1.8e+04 1.0e+03] R^2: -9142.52644518619
[3.5e+00 1.8e+04 1.0e+03] R^2: -9057.360650925139
[3.5e+00 1.8e+04 1.0e+03] R^2: -8910.704229521776
[3.5e+00 1.8e+04 1.0e+03] R^2: -8704.103322811476
[3.5e+00 1.8e+04 1.0e+03] R^2: -8603.231544538996
[3.5e+00 1.8e+04 1.0e+03] R^2: -8561.046869823254
[3.5e+00 1.8e+04 1.0e+03] R^2: -8353.376663941635
[3.5e+00 1.8e+04 1.0e+03] R^2: -8178.800744771494
[3.5e+00 1.8e+04 1.0e+03] R^2: -8078.430679435958
[3.5e+00 1.8e+04 1.0e+03] R^2: -8065.944240973811
[3.5e+00 1.8e+04 1.0e+03] R^2: -8073.243461196768
[3.5e+00 1.8e+04 1.0e+03] R^2: -8007.4850921883635
[3.5e+00 1.8e+04 1.0e+03] R^2: -7878.894697401889
[3.5e+00 1.8e+04 1.0e+03] R^2: -7824.6570832829075
[3.5e+00 1.8e+04 1.0e+03] R^2: -7829.815787690633
[3.5e+00 1.8e+04 1.0e+03] R^2: -7824.581089916075
[3.5e+00 1.8e+04 1.0e+03] R^2: -7804.995324520316
[3.5e+00 1.8e+04 1.0e+03] R^2: -7694.398768583672
[3.5e+00 1.8e+04 1.0e+03] R^2: -7712.381529827235
[3.5e+00 1.8e+04 1.0e+03] R^2: -7724.802195137655
[3.5e+00 1.8e+04 1.0e+03] R^2: -7684.4530084362195
[3.5e+00 1.8e+04 1.0e+03] R^2: -7611.00924190038
[3.5e+00 1.8e+04 1.0e+03] R^2: -7586.748273749771
[3.5e+00 1.8e+04 1.0e+03] R^2: -7575.518793054982
[3.5e+00 1.8e+04 1.0e+03] R^2: -7568.284235842889
[3.5e+00 1.8e+04 1.0e+03] R^2: -7513.920464520573
[3.5e+00 1.8e+04 1.0e+03] R^2: -7454.6100540586285
[3.5e+00 1.8e+04 1.0e+03] R^2: -7416.339931713913
[3.5e+00 1.8e+04 1.0e+03] R^2: -7444.247714097863
[3.5e+00 1.8e+04 1.0e+03] R^2: -7378.357023772878
[3.5e+00 1.8e+04 1.0e+03] R^2: -7311.443571097884
[3.5e+00 1.8e+04 1.0e+03] R^2: -7306.952749751929
[3.5e+00 1.8e+04 1.0e+03] R^2: -7283.114146036088
[3.5e+00 1.8e+04 1.0e+03] R^2: -7297.56727817667
[3.5e+00 1.8e+04 1.0e+03] R^2: -7264.050829672706
[3.5e+00 1.8e+04 1.0e+03] R^2: -7166.420491487158
[3.5e+00 1.8e+04 1.0e+03] R^2: -7124.9115154455985
[3.5e+00 1.8e+04 1.0e+03] R^2: -7138.006527736301
[3.5e+00 1.8e+04 1.0e+03] R^2: -7109.0025490573935
[3.5e+00 1.8e+04 1.0e+03] R^2: -7019.955406705584
[3.5e+00 1.8e+04 1.0e+03] R^2: -6949.178774166892
[3.5e+00 1.8e+04 1.0e+03] R^2: -6951.388776021378
[3.5e+00 1.8e+04 1.0e+03] R^2: -6895.968937699466
[3.5e+00 1.8e+04 1.0e+03] R^2: -6904.305402504937
[3.5e+00 1.8e+04 1.0e+03] R^2: -6816.326428793281
[3.5e+00 1.8e+04 1.0e+03] R^2: -6790.875324757629
